Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
662361;Zădăreni;Zadareni;Gaderlach,Sadarlach,Saderlach,Saderlak,Szaderlak,Zadareni,Zadarlac,Zaderlach,Zadorlak,Zadărlac,Zádorlak,Zădăreni;P;PPLA2;RO;Romania;;02;12938;;;2032;;110;Europe/Bucharest;2013-04-20;Romania;46.13274, 21.21821
662366;Zăbrani;Zabrani;Gutenbrunn,Guttenbrunn,Guttennbrunn,Temeshidegkut,Temeshidegkút,Zabrani,Zabrany,Zábrány,Zăbrani;P;PPLA2;RO;Romania;;02;12778;;;4392;;157;Europe/Bucharest;2012-06-12;Romania;46.06667, 21.55
662651;Viziru;Viziru;Viziru,Vizirul;P;PPLA2;RO;Romania;;08;44505;;;6305;;15;Europe/Bucharest;2012-06-12;Romania;45.01667, 27.7
662715;Vârvoru de Jos;Varvoru de Jos;Ruptura,Virvoru de Jos,Vîrvoru de Jos;P;PPLA2;RO;Romania;;17;74750;;;0;;111;Europe/Bucharest;2012-06-12;Romania;44.24415, 23.6079
662850;Vima Mică;Vima Mica;;P;PPLA2;RO;Romania;;25;109425;;;1621;;459;Europe/Bucharest;2012-06-12;Romania;47.4, 23.71667
662948;Viforâta;Viforata;Viforata,Viforita,Viforâta,Viforîta;P;PPL;RO;Romania;;16;65379;;;2109;;302;Europe/Bucharest;2013-04-20;Romania;44.96011, 25.45796
663078;Vela;Vela;Vela,Vella;P;PPLA2;RO;Romania;;17;74616;;;2211;;191;Europe/Bucharest;2012-06-12;Romania;44.28333, 23.41667
663118;Vaslui;Vaslui;Vasloui,Vaslui,Vasluiul,Vasluj,Vaslujus,Vaszlo,Vászló,baseullu-i,faslwy,vuasurui,wa si lu yi,waslwy,waslwyy,wslwy,wzlw,Βασλούι,Васлуй,Васлуј,וסלוי,فاسلوي,واسلوئی,واسلوی,وزلو,ヴァスルイ,瓦斯盧伊,바슬루이;P;PPLA;RO;Romania;;38;161945;;;69225;;96;Europe/Bucharest;2016-02-07;Romania;46.63333, 27.73333
663267;Văleni;Valeni;;P;PPLX;RO;Romania;;28;120726;;;1259;;306;Europe/Bucharest;2013-04-20;Romania;46.90291, 26.38945
663355;Valea Târsei;Valea Tarsei;Valea Tars,Valea Tarsei,Valea Tirsei,Valea Târsei,Valea Tîrsei;P;PPLX;RO;Romania;;30;131103;;;1256;;493;Europe/Bucharest;2013-04-20;Romania;45.17711, 25.63323
663388;Valea Șoșii;Valea Sosii;Valea Sosei,Valea Sosii,Valea Şoşei;P;PPL;RO;Romania;;04;24631;;;1162;;409;Europe/Bucharest;2013-04-20;Romania;46.4618, 26.54992
