cityid,regionid,countryid,countryname,countrycode,Continent,StateProvinceName,cityname,latitude,longitude
98826,4124,182,Romania,RO,Europe,,,,
625862,519984,182,Romania,RO,Europe,Alba,Abrud,,
625849,519984,182,Romania,RO,Europe,Alba,Aiud,,
625848,519984,182,Romania,RO,Europe,Alba,Alba Iulia,,
625831,519984,182,Romania,RO,Europe,Alba,Ampoita,,
625790,519984,182,Romania,RO,Europe,Alba,Baia de Aries,,
625770,519984,182,Romania,RO,Europe,Alba,Balomiru de Camp,,
625710,519984,182,Romania,RO,Europe,Alba,Bistra,,
625705,519984,182,Romania,RO,Europe,Alba,Blaj,,
625624,519984,182,Romania,RO,Europe,Alba,Bucium,47.11667,27.63333
625531,519984,182,Romania,RO,Europe,Alba,Campeni,,
625562,519984,182,Romania,RO,Europe,Alba,Cenade,46.05,24.01667
625558,519984,182,Romania,RO,Europe,Alba,Cergau Mare,,
625552,519984,182,Romania,RO,Europe,Alba,Cetatea de Balta,,
625507,519984,182,Romania,RO,Europe,Alba,Cistei,46.18662,23.75364
625506,519984,182,Romania,RO,Europe,Alba,Ciugud,46.05,23.61667
625505,519984,182,Romania,RO,Europe,Alba,Ciuguzel,46.28339,23.85874
625503,519984,182,Romania,RO,Europe,Alba,Ciumbrud,46.3081,23.76222
625439,519984,182,Romania,RO,Europe,Alba,Craciunelu de Jos,,
625418,519984,182,Romania,RO,Europe,Alba,Cugir,,
625257,519984,182,Romania,RO,Europe,Alba,Galda de Jos,46.18333,23.61667
625120,519984,182,Romania,RO,Europe,Alba,Ighiu,46.20443,25.28704
625085,519984,182,Romania,RO,Europe,Alba,Jidvei,,
625035,519984,182,Romania,RO,Europe,Alba,Lunca,,
625022,519984,182,Romania,RO,Europe,Alba,Lupsa,,
625007,519984,182,Romania,RO,Europe,Alba,Manarade,,
624983,519984,182,Romania,RO,Europe,Alba,Mescreac,,
624961,519984,182,Romania,RO,Europe,Alba,Miraslau,,
624887,519984,182,Romania,RO,Europe,Alba,Oarda,46.03333,23.56667
624882,519984,182,Romania,RO,Europe,Alba,Ocna Mures,,
624878,519984,182,Romania,RO,Europe,Alba,Ocolis,,
624872,519984,182,Romania,RO,Europe,Alba,Oiejdea,46.15798,23.63399
624846,519984,182,Romania,RO,Europe,Alba,Panade,,
624820,519984,182,Romania,RO,Europe,Alba,Petresti,,
